2019-08-09 10:30:16,339 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 43]
2019-08-09 10:30:16,419 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 44]
2019-08-09 10:30:16,677 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 45]
2019-08-09 10:30:16,977 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 46]
2019-08-09 10:30:17,065 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 47]
2019-08-09 10:30:17,120 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 48]
2019-08-09 10:30:17,164 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 49]
2019-08-09 10:30:17,222 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 50]
2019-08-09 10:30:17,282 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 51]
2019-08-09 10:30:17,356 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 52]
2019-08-09 10:30:17,445 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 53]
2019-08-09 10:30:17,527 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 54]
2019-08-09 10:30:17,585 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 55]
2019-08-09 10:30:17,657 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 56]
2019-08-09 10:30:17,706 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 57]
2019-08-09 10:30:17,839 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 58]
2019-08-09 10:30:17,871 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 59]
2019-08-09 10:30:17,892 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 60]
2019-08-09 10:30:17,918 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 61]
2019-08-09 10:30:17,938 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 62]
2019-08-09 10:30:17,964 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 63]
2019-08-09 10:30:17,986 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 1, ' p ', 0.53527105, ' total_step ', 64]
2019-08-09 10:30:18,001 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 65]
2019-08-09 10:30:18,021 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 66]
2019-08-09 10:30:18,053 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 1, ' p ', 0.5164412, ' total_step ', 67]
2019-08-09 10:30:18,076 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 68]
2019-08-09 10:30:18,106 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 69]
2019-08-09 10:30:18,126 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 70]
2019-08-09 10:30:18,151 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 71]
2019-08-09 10:30:18,168 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 72]
2019-08-09 10:30:18,205 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 2, ' p ', 0.53527105, ' total_step ', 73]
2019-08-09 10:30:18,240 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([14,  0]), ' v ', -0.70575297, ' a ', 0, ' p ', 0.53527105, ' total_step ', 74]
